"city","region","country_code","latitude","longitude","order_count","total_revenue","aov"
Veľký Blh,"",SK,48.4364517,20.1251731,1,4.62,4.62
Neverice,"",SK,48.3679847,18.2738425,1,134.36,134.36
Považská Bystrica,"",SK,49.1372308,18.3906814,1,23.58,23.58
Hôrka nad Váhom,"",SK,48.7172816,17.8920572,1,18.29,18.29
Jasenica,"",SK,49.1788143,18.4511206,1,9.12,9.12
Pernek,"",SK,48.3670093,17.1467389,1,4.12,4.12
Bežovce,"",SK,48.6283206,22.1737752,1,84.46,84.46
Hatalov,"",SK,48.6677786,21.8853532,1,57.91,57.91
Podkriváň,"",SK,48.5203182,19.4769744,1,45.49,45.49
Badín,"",SK,48.6665134,19.1188923,1,33.2,33.2
Klin,"",SK,49.4399983,19.4867677,1,14.12,14.12
Horná Mariková,"",SK,49.2526698,18.305925,1,47.46,47.46
Mostová,"",SK,48.1373696,17.6744183,1,34.21,34.21
Vikartovce,"",SK,48.9926762,20.1493004,1,21.13,21.13
